frame,time_s,x,y,w,h,cx,cy
139,4.6333,260.2,-165.1,137.0,335.0,328.7,2.4
140,4.6667,262.6,-164.5,137.0,335.0,331.1,3.0
141,4.7000,264.8,-163.9,137.0,335.0,333.3,3.6
142,4.7333,266.9,-163.2,137.0,335.0,335.4,4.3
143,4.7667,268.9,-162.4,137.0,335.0,337.4,5.1
144,4.8000,270.9,-161.6,137.0,335.0,339.4,5.9
145,4.8333,274.2,-157.7,134.0,329.0,341.2,6.8
146,4.8667,276.0,-156.7,134.0,329.0,343.0,7.8
147,4.9000,278.6,-152.1,132.0,322.0,344.6,8.9
148,4.9333,281.6,-148.0,129.0,316.0,346.1,10.0
149,4.9667,284.1,-143.9,127.0,310.0,347.6,11.1
150,5.0000,286.9,-139.7,124.0,304.0,348.9,12.3
151,5.0333,289.2,-135.5,122.0,298.0,350.2,13.5
152,5.0667,290.4,-134.2,122.0,298.0,351.4,14.8
153,5.1000,293.0,-129.9,119.0,292.0,352.5,16.1
154,5.1333,294.1,-128.6,119.0,292.0,353.6,17.4
155,5.1667,296.2,-124.2,117.0,286.0,354.7,18.8
156,5.2000,298.2,-119.9,115.0,280.0,355.7,20.1
157,5.2333,299.1,-118.5,115.0,280.0,356.6,21.5
158,5.2667,300.1,-117.0,115.0,280.0,357.6,23.0
159,5.3000,302.5,-113.0,112.0,275.0,358.5,24.5
160,5.3333,304.3,-109.0,110.0,270.0,359.3,26.0
161,5.3667,306.1,-104.4,108.0,264.0,360.1,27.6
162,5.4000,307.8,-100.4,106.0,259.0,360.8,29.1
163,5.4333,308.5,-98.8,106.0,259.0,361.5,30.7
164,5.4667,310.1,-94.6,104.0,254.0,362.1,32.4
165,5.5000,311.7,-90.5,102.0,249.0,362.7,34.0
166,5.5333,313.3,-86.4,100.0,244.0,363.3,35.6
167,5.5667,314.9,-82.2,98.0,239.0,363.9,37.3
168,5.6000,315.4,-80.5,98.0,239.0,364.4,39.0
169,5.6333,316.9,-76.9,96.0,235.0,364.9,40.6
170,5.6667,317.4,-75.1,96.0,235.0,365.4,42.4
171,5.7000,318.9,-70.9,94.0,230.0,365.9,44.1
172,5.7333,320.3,-67.2,92.0,226.0,366.3,45.8
173,5.7667,321.7,-63.0,90.0,221.0,366.7,47.5
174,5.8000,322.5,-59.2,89.0,217.0,367.0,49.3
175,5.8333,323.8,-55.5,87.0,213.0,367.3,51.0
176,5.8667,323.1,-55.7,89.0,217.0,367.6,52.8
177,5.9000,324.3,-52.0,87.0,213.0,367.8,54.5
178,5.9333,324.6,-50.3,87.0,213.0,368.1,56.2
179,5.9667,324.8,-48.6,87.0,213.0,368.3,57.9
180,6.0000,324.9,-46.9,87.0,213.0,368.4,59.6
181,6.0333,325.1,-45.2,87.0,213.0,368.6,61.3
182,6.0667,325.2,-43.5,87.0,213.0,368.7,63.0
183,6.1000,325.3,-41.9,87.0,213.0,368.8,64.6
184,6.1333,325.4,-40.2,87.0,213.0,368.9,66.3
185,6.1667,325.5,-38.6,87.0,213.0,369.0,67.9
186,6.2000,325.5,-37.0,87.0,213.0,369.0,69.5
187,6.2333,325.5,-35.4,87.0,213.0,369.0,71.1
188,6.2667,325.4,-33.9,87.0,213.0,368.9,72.6
189,6.3000,326.3,-29.9,85.0,208.0,368.8,74.1
190,6.3333,326.2,-28.4,85.0,208.0,368.7,75.6
191,6.3667,326.0,-26.9,85.0,208.0,368.5,77.1
192,6.4000,326.3,-23.4,84.0,204.0,368.3,78.6
193,6.4333,326.1,-21.9,84.0,204.0,368.1,80.1
194,6.4667,325.8,-20.5,84.0,204.0,367.8,81.5
195,6.5000,325.6,-19.1,84.0,204.0,367.6,82.9
196,6.5333,326.3,-15.7,82.0,200.0,367.3,84.3
197,6.5667,326.0,-14.3,82.0,200.0,367.0,85.7
198,6.6000,325.6,-12.9,82.0,200.0,366.6,87.1
199,6.6333,325.2,-11.5,82.0,200.0,366.2,88.5
200,6.6667,324.8,-10.2,82.0,200.0,365.8,89.8
201,6.7000,325.4,-6.8,80.0,196.0,365.4,91.2
202,6.7333,324.9,-5.5,80.0,196.0,364.9,92.5
203,6.7667,324.4,-4.2,80.0,196.0,364.4,93.8
204,6.8000,323.8,-2.8,80.0,196.0,363.8,95.2
205,6.8333,323.2,-1.5,80.0,196.0,363.2,96.5
